Date and time,Mode,Distance,Duration,Price
2022-05-27 23:43,Bus,4.5,0.14,1.0
2022-07-24 16:12,Bus,2.8,0.11,1.0
2022-08-30 18:10,Bus,2.7,0.11,1.0
2022-12-31 11:27,Bus,2.8,0.14,1.0
2022-10-15 08:36,Bus,8.5,0.3,1.0
2022-09-10 14:51,Bus,3.8,0.14,1.0
2022-01-15 20:52,Bus,9.4,0.31,1.0
2022-06-29 16:00,Bus,5.6,0.24,1.0
2022-04-07 08:01,Bus,6.5,0.23,1.0
2022-11-24 17:28,Bus,3.3,0.15,1.0
2022-05-24 19:39,Bus,3.5,0.14,1.0
2022-03-09 15:32,Bus,0.8,0.04,1.0
2022-04-09 09:50,Bus,2.1,0.07,1.0
2022-12-12 09:39,Bus,8.1,0.28,1.0
2022-11-22 08:22,Bus,1.0,0.03,1.0
2022-01-12 20:00,Bus,3.5,0.13,1.0
2022-05-04 16:17,Bus,9.0,0.33,1.0
2022-04-15 10:56,Bus,1.2,0.05,1.0
2022-12-17 11:55,Bus,2.0,0.09,1.0
2022-03-25 19:04,Bus,1.7,0.07,1.0
2022-06-07 17:21,Bus,12.3,0.5,1.0
2022-06-09 10:01,Bus,1.9,0.05,1.0
2022-09-17 10:30,Bus,9.3,0.46,1.0
2022-12-05 08:09,Bus,3.2,0.13,1.0
2022-10-28 13:19,Bus,5.7,0.22,1.0
2022-06-26 13:45,Bus,4.4,0.2,1.0
2022-03-19 21:01,Bus,2.1,0.08,1.0
2022-08-08 18:29,Bus,1.1,0.04,1.0
2022-04-23 20:47,Bus,4.4,0.14,1.0
2022-08-27 22:55,Bus,7.6,0.28,1.0
2022-07-30 21:08,Bus,2.1,0.09,1.0
2022-04-03 10:35,Bus,2.8,0.16,1.0
2022-06-26 14:40,Bus,2.3,0.08,1.0
2022-01-28 16:50,Bus,3.7,0.13,1.0
2022-06-16 09:51,Bus,4.3,0.16,1.0
2022-06-07 09:06,Bus,5.6,0.25,1.0
2022-12-29 08:44,Bus,5.2,0.3,1.0
2022-07-19 19:53,Bus,11.1,0.47,1.0
2022-08-24 17:30,Bus,2.1,0.1,1.0
2022-03-05 09:51,Bus,5.4,0.27,1.0
2022-02-14 18:08,Bus,4.1,0.18,1.0
2022-12-02 16:17,Bus,4.4,0.23,1.0
2022-08-12 20:58,Bus,5.3,0.2,1.0
2022-01-03 12:13,Bus,9.1,0.31,1.0
2022-04-07 16:19,Bus,2.7,0.16,1.0
2022-10-19 21:19,Bus,1.8,0.1,1.0
2022-10-26 17:06,Bus,4.9,0.3,1.0
2022-11-03 09:54,Bus,2.6,0.11,1.0
2022-07-20 18:08,Bus,4.1,0.18,1.0
2022-10-28 22:42,Bus,1.8,0.08,1.0
2022-01-03 11:50,Bus,2.3,0.08,1.0
2022-02-22 18:43,Bus,5.6,0.28,1.0
2022-12-16 11:38,Bus,1.9,0.07,1.0
2022-09-30 08:01,Bus,4.4,0.25,1.0
2022-08-10 22:59,Bus,10.0,0.4,1.0
2022-09-03 13:10,Bus,6.0,0.19,1.0
2022-02-16 17:24,Bus,2.0,0.08,1.0
2022-02-04 09:55,Bus,3.2,0.13,1.0
2022-11-16 22:41,Bus,4.3,0.15,1.0
2022-09-20 18:25,Bus,5.7,0.24,1.0
2022-10-29 13:28,Bus,3.6,0.2,1.0
2022-06-10 14:00,Bus,7.6,0.31,1.0
2022-01-06 09:20,Bus,4.2,0.21,1.0
2022-06-02 20:48,Bus,1.7,0.13,1.0
2022-01-23 07:33,Bus,2.3,0.12,1.0
2022-12-28 07:51,Bus,0.7,0.03,1.0
2022-06-14 11:34,Bus,3.7,0.15,1.0
2022-11-11 20:59,Bus,7.5,0.27,1.0
2022-08-29 08:35,Bus,2.8,0.15,1.0
2022-04-11 16:16,Bus,3.3,0.12,1.0
2022-05-27 21:13,Bus,10.9,0.39,1.0
2022-09-19 16:11,Bus,4.1,0.19,1.0
2022-06-02 18:37,Bus,7.3,0.25,1.0
2022-01-05 18:29,Bus,2.2,0.09,1.0
2022-02-12 09:42,Bus,4.4,0.17,1.0
2022-06-04 15:42,Bus,0.9,0.04,1.0
2022-08-25 10:12,Bus,2.0,0.08,1.0
2022-07-30 10:03,Bus,2.6,0.1,1.0
2022-03-15 08:09,Bus,4.9,0.21,1.0
2022-05-11 19:49,Bus,4.5,0.22,1.0
2022-12-22 14:14,Bus,2.4,0.08,1.0
2022-04-03 13:49,Bus,3.0,0.12,1.0
2022-07-02 21:15,Bus,3.1,0.11,1.0
2022-03-13 08:35,Bus,2.2,0.08,1.0
2022-07-28 21:08,Bus,1.5,0.06,1.0
2022-07-20 09:44,Bus,4.9,0.2,1.0
2022-04-20 17:28,Bus,9.4,0.36,1.0
2022-08-31 12:47,Bus,7.5,0.32,1.0
